@relation hw5_p4_train-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1

@attribute age numeric
@attribute contact {cellular,unknown,telephone}
@attribute month {oct,nov,may,jul,aug,mar,apr,jan,jun,feb,sep,dec}
@attribute duration numeric
@attribute pdays numeric
@attribute previous numeric
@attribute y {no,yes}

@data
41,cellular,oct,181,500,1,no
47,cellular,aug,236,104,1,no
44,unknown,jun,41,-1,0,no
24,cellular,apr,229,-1,0,no
27,unknown,jun,88,-1,0,no
44,telephone,jul,73,-1,0,no
40,cellular,aug,197,-1,0,no
32,cellular,jul,72,-1,0,no
27,unknown,may,332,-1,0,no
33,unknown,may,270,-1,0,no
65,cellular,aug,245,-1,0,no
58,telephone,jul,282,-1,0,no
32,cellular,aug,104,-1,0,no
47,cellular,aug,118,-1,0,no
53,telephone,aug,223,-1,0,no
45,cellular,aug,189,-1,0,no
59,unknown,may,104,-1,0,no
38,unknown,jun,299,-1,0,no
70,cellular,may,445,-1,0,no
31,cellular,jul,357,-1,0,no
41,unknown,may,57,-1,0,no
37,cellular,may,102,333,2,no
36,cellular,apr,15,316,1,no
38,cellular,aug,79,-1,0,no
58,cellular,feb,72,274,4,no
51,cellular,nov,26,-1,0,no
39,unknown,may,273,-1,0,no
29,cellular,jul,115,61,1,no
48,cellular,mar,77,-1,0,no
43,cellular,nov,110,-1,0,no
39,unknown,jun,217,-1,0,no
31,unknown,jun,115,-1,0,no
45,cellular,jan,244,-1,0,no
55,unknown,may,144,-1,0,no
57,telephone,jul,73,-1,0,no
46,telephone,nov,249,112,2,no
36,cellular,nov,136,120,1,no
38,unknown,may,195,-1,0,no
28,unknown,jun,380,-1,0,no
55,unknown,jun,64,-1,0,no
52,unknown,jun,315,-1,0,no
29,cellular,jun,136,-1,0,no
26,cellular,may,207,363,2,no
41,cellular,aug,261,-1,0,no
40,cellular,nov,153,-1,0,no
34,unknown,may,339,-1,0,no
36,unknown,jun,347,-1,0,no
39,unknown,may,825,-1,0,no
47,cellular,aug,293,-1,0,no
50,cellular,aug,104,-1,0,no
31,unknown,may,81,-1,0,no
28,unknown,jun,318,-1,0,no
58,unknown,jun,199,-1,0,no
41,cellular,aug,140,-1,0,no
34,cellular,jul,574,-1,0,no
38,cellular,jul,121,-1,0,no
31,cellular,nov,631,-1,0,no
52,unknown,jun,96,-1,0,no
54,unknown,may,74,-1,0,no
33,cellular,feb,124,273,1,no
38,unknown,jun,212,-1,0,no
46,cellular,apr,126,149,8,no
43,unknown,may,57,-1,0,no
47,unknown,may,135,-1,0,no
34,unknown,jun,109,-1,0,no
26,cellular,jul,136,-1,0,no
71,cellular,jan,208,93,2,no
27,unknown,may,78,-1,0,no
31,cellular,aug,385,-1,0,no
36,unknown,may,103,-1,0,no
31,cellular,aug,220,-1,0,no
32,unknown,may,138,-1,0,no
45,cellular,apr,78,176,1,no
42,unknown,may,187,-1,0,no
32,unknown,may,501,-1,0,no
36,cellular,may,86,-1,0,no
30,cellular,feb,192,-1,0,no
48,unknown,may,208,-1,0,no
38,cellular,aug,132,-1,0,no
50,cellular,jul,206,-1,0,no
36,unknown,may,142,-1,0,no
36,unknown,may,260,-1,0,no
47,unknown,may,157,-1,0,no
54,cellular,jul,443,-1,0,no
33,cellular,may,104,-1,0,no
43,cellular,jul,747,-1,0,no
35,cellular,may,74,168,4,no
50,cellular,may,141,297,2,no
36,cellular,aug,452,-1,0,no
38,unknown,may,112,-1,0,no
39,cellular,jul,405,-1,0,no
48,cellular,jul,225,-1,0,no
37,telephone,may,42,-1,0,no
40,cellular,may,207,351,2,no
52,cellular,jan,141,-1,0,no
38,unknown,may,364,-1,0,no
60,cellular,jan,188,261,2,no
26,unknown,may,113,-1,0,no
60,cellular,apr,123,147,3,no
49,telephone,jul,281,-1,0,no
52,cellular,apr,238,323,2,no
42,cellular,apr,285,-1,0,no
43,unknown,jun,217,-1,0,no
54,cellular,nov,104,-1,0,no
31,unknown,jun,19,-1,0,no
46,unknown,may,91,-1,0,no
34,cellular,jul,326,-1,0,no
49,cellular,aug,356,-1,0,no
45,unknown,jun,214,-1,0,no
40,cellular,may,333,58,3,no
40,cellular,jul,112,-1,0,no
75,cellular,feb,865,190,1,no
53,unknown,jun,226,-1,0,no
37,cellular,may,24,362,1,no
49,telephone,nov,10,-1,0,no
46,cellular,may,304,-1,0,no
39,cellular,may,126,-1,0,no
32,cellular,jul,455,-1,0,no
35,unknown,jun,426,-1,0,no
30,cellular,oct,233,137,20,no
41,cellular,jul,71,-1,0,no
33,cellular,jul,184,-1,0,no
32,unknown,may,298,-1,0,no
59,cellular,jul,52,-1,0,no
57,cellular,aug,93,-1,0,no
34,cellular,aug,61,-1,0,no
47,cellular,aug,58,382,1,no
36,unknown,jun,82,-1,0,no
