A1,A2
65.2,396.9
78.9,396.9
61.1,392.83
45.8,394.63
54.2,396.9
58.7,394.12
66.6,395.6
96.1,396.9
100,386.63
85.9,386.71
94.3,392.52
82.9,396.9
39,390.5
61.8,396.9
84.5,380.02
56.5,395.62
29.3,386.85
81.7,386.75
36.6,288.99
69.5,390.95
98.1,376.57
89.2,392.53
91.7,396.9
100,394.54
94.1,394.33
85.7,303.42
90.3,376.88
88.8,306.38
94.4,387.94
87.3,380.23
94.1,360.17
100,376.73
82,232.6
95,358.77
96.9,248.31
68.2,396.9
61.4,377.56
41.5,396.9
30.2,393.43
21.8,395.63
15.8,395.62
2.9,385.41
6.6,383.37
6.5,394.46
40,389.39
33.8,396.9
33.3,396.9
85.5,392.74
95.3,396.9
62,396.9
45.7,395.56
63,393.97
21.1,396.9
21.4,396.9
47.6,396.9
21.9,395.93
35.7,396.9
40.5,392.9
29.2,390.68
47.2,396.9
66.2,395.11
93.4,378.08
67.8,396.9
43.4,395.58
59.5,393.24
17.8,396.9
31.1,396.9
21.4,396.21
36.8,396.9
33,396.9
6.6,383.73
17.5,376.94
7.8,390.91
6.2,377.17
6,394.92
45,383.23
74.5,373.66
45.8,386.96
53.7,386.4
36.6,396.06
33.5,396.9
70.4,395.63
32.2,396.9
46.7,390.64
48,396.9
56.1,392.3
45.1,395.99
56.8,395.15
86.3,396.9
63.1,396.06
66.1,392.18
73.9,393.55
53.6,395.01
28.9,396.33
77.3,396.9
57.8,357.98
69.6,391.83
76,396.9
36.9,393.53
62.5,396.9
79.9,394.76
71.3,395.58
85.4,70.8
87.4,394.47
90,392.69
96.7,394.05
91.9,395.67
85.2,387.69
97.1,395.24
91.2,391.23
54.4,393.49
81.6,395.59
92.9,394.95
95.4,396.9
84.2,388.74
88.2,344.91
72.5,393.3
82.6,394.51
73.1,338.63
65.2,391.5
69.7,389.15
84.1,377.67
92.9,378.09
97,370.31
95.8,379.38
88.4,385.02
95.6,359.29
96,392.11
98.8,396.9
94.7,396.9
98.9,395.04
97.7,396.9
97.9,385.76
95.4,388.69
98.4,262.76
98.2,394.67
93.5,378.25
98.4,394.08
98.2,392.04
97.9,396.9
93.6,388.08
100,396.9
100,396.9
100,396.9
97.8,396.9
100,172.91
100,169.27
95.7,391.71
93.8,356.99
94.9,351.85
97.3,372.8
100,341.6
88,343.28
98.5,261.95
96,321.02
82.6,88.01
94,88.63
97.4,363.43
100,353.89
100,364.31
92.6,338.92
90.8,374.43
98.2,389.61
93.9,388.45
91.8,395.11
93,240.16
96.2,369.3
79.2,227.61
96.1,297.09
95.2,330.04
94.6,292.29
97.3,348.13
88.5,396.9
84.1,395.5
68.7,393.23
33.1,390.96
47.2,393.23
73.4,395.6
74.4,391.27
58.4,396.9
83.3,395.56
62.2,396.9
92.2,394.12
95.6,396.9
89.8,391
68.8,387.11
53.6,392.63
41.1,393.87
