@relation hw8-p4-2

@attribute calories numeric
@attribute fiber numeric
@attribute sugars numeric
@attribute potass numeric

@data
166.020696,1.75,25.129253,70
166.020696,0.5,38.974741,30
196.056972,3.5,19.405352,100
135.977121,15.5,14.327469,125
135.977121,24.5,11.952469,190
181.039591,-0.5,31.629253,35
181.039591,-0.5,22.17637,45
166.020696,3.5,16.797957,105
166.020696,-0.5,35.193273,55
166.020696,-0.5,7.150685,25
166.020696,0.5,31.629253,20
166.020696,-0.5,35.193273,65
166.020696,15.5,16.797957,160
166.020696,0.5,7.150685,30
151,3.5,25.129253,120
151,0.5,11.952469,80
166.020696,0.5,35.193273,30
166.020696,0.5,28.277012,25
151,8.5,16.797957,100
181.039591,24.5,25.129253,200
181.039591,24.5,31.629253,190
166.020696,-0.5,31.629253,25
151,-0.5,42.978154,40
166.020696,-0.5,22.17637,45
151,8.5,11.952469,85
166.020696,8.5,7.150685,90
181.039591,8.5,9.603568,100
181.039591,0.5,28.277012,45
166.020696,1.75,25.129253,90
166.020696,-0.5,28.277012,35
166.020696,0.5,14.327469,60
211.073064,3.5,22.17637,95
166.020696,-0.5,7.150685,40
151,3.5,14.327469,95
166.020696,-0.5,31.629253,55
151,-0.5,7.150685,95
226.088046,8.5,28.277012,170
226.088046,8.5,28.277012,170
241.10206,8.5,35.193273,160
151,3.5,14.327469,90
181.039591,-0.5,22.17637,40
211.073064,8.5,16.797957,130
196.056972,1.75,25.129253,120
181.039591,35.5,38.974741,260
151,0.5,7.150685,45
151,3.5,14.327469,110
181.039591,24.5,31.629253,240
151,5.75,19.405352,140
135.977121,3.5,14.327469,110
166.020696,-0.5,7.150685,35
166.020696,0.5,42.978154,40
166.020696,0.5,7.150685,55
135.977121,8.5,11.952469,90
166.020696,-0.5,7.150685,35
211.073064,15.5,38.974741,230
151,8.5,7.150685,110
166.020696,-0.5,7.150685,60
166.020696,-0.5,31.629253,25
151,8.5,7.150685,115
151,8.5,7.150685,110
166.020696,0.5,19.405352,60
