t,Y
1,3.3
2,3.6
3,2.9
4,1.9
5,2
6,2.9
7,2.7
8,1.5
9,1.6
10,1.3
11,0.7
12,0.7
13,1.2
14,1.5
15,1.5
16,1.6
17,1.1
18,1.1
19,1.4
20,1.4
21,1
22,1.3
23,1.9
24,1.7
25,2.3
26,2.4
27,1.8
28,0.6
29,0.8
30,1.7
31,1.1
32,0.6
33,1.1
34,1.1
35,1
36,0.5
37,0.7
38,1
39,1.2
40,0.7
41,0.9
42,0.8
43,0.8
44,0.5
45,0.5
46,0.7
47,0.9
48,1
49,1.2
50,1.3
51,1.6
52,1.4
53,1.7
54,1.7
55,1.4
56,0.8
57,0.4
58,0.3
59,0.5
60,0.5
61,1.5
62,2.6
63,4.3
64,3.1
65,2.9
66,2.5
67,1.9
68,2.5
69,2.5
70,2.8
71,2.3
72,3.3
73,2.8
74,4.8
75,2.5
76,2
77,1.8
78,1.7
79,1.3
80,0.7
81,0.5
82,0.4
83,0.3
84,0.5
85,1.4
86,3.3
87,5.8
88,5
89,3.5
90,2.9
91,2.5
92,2.3
93,2.4
94,2.6
95,2.2
96,3.5
97,3.9
98,4.5
99,3.8
100,2.8
